statement,line_key,line_name,period,amount,source_accounts,questions_notes
BS,BS_CASH,Cash,2023-01,41023.700000,1000,
BS,BS_CASH,Cash,2023-02,39557.060000,1000,
BS,BS_CASH,Cash,2023-03,41651.140000,1000,
BS,BS_CASH,Cash,2023-04,42756.860000,1000,
BS,BS_CASH,Cash,2023-05,40812.070000,1000,
BS,BS_CASH,Cash,2023-06,46209.070000,1000,
BS,BS_CASH,Cash,2023-07,44163.100000,1000,
BS,BS_CASH,Cash,2023-08,42719.750000,1000,
BS,BS_CASH,Cash,2023-09,45430.740000,1000,
BS,BS_CASH,Cash,2023-10,48988.910000,1000,
BS,BS_CASH,Cash,2023-11,790023.030000,1000,
BS,BS_CASH,Cash,2023-12,597759.400000,1000,
BS,BS_CASH,Cash,2024-01,1776541.040000,1000,
BS,BS_CASH,Cash,2024-02,2119578.370000,1000,
BS,BS_CASH,Cash,2024-03,2783985.560000,1000,
BS,BS_CASH,Cash,2024-04,2889533.260000,1000,
BS,BS_CASH,Cash,2024-05,3539303.770000,1000,
BS,BS_CASH,Cash,2024-06,3655467.080000,1000,
BS,BS_CASH,Cash,2024-07,4442624.420000,1000,
BS,BS_CASH,Cash,2024-08,4272562.250000,1000,
BS,BS_CASH,Cash,2024-09,5042780.540000,1000,
BS,BS_CASH,Cash,2024-10,5840215.550000,1000,
BS,BS_CASH,Cash,2024-11,5841481.200000,1000,
BS,BS_CASH,Cash,2024-12,7373215.500000,1000,
BS,BS_CASH,Cash,2025-01,7460901.270000,1000,
BS,BS_CASH,Cash,2025-02,8124172.740000,1000,
BS,BS_CASH,Cash,2025-03,8483836.440000,1000,
BS,BS_CASH,Cash,2025-04,9180881.430000,1000,
BS,BS_CASH,Cash,2025-05,9134460.190000,1000,
BS,BS_CASH,Cash,2025-06,10236006.700000,1000,
BS,BS_CASH,Cash,2025-07,10739498.830000,1000,
BS,BS_CASH,Cash,2025-08,10865230.630000,1000,
BS,BS_CASH,Cash,2025-09,11564414.840000,1000,
BS,BS_CASH,Cash,2025-10,11204133.050000,1000,
BS,BS_CASH,Cash,2025-11,12901041.550000,1000,
BS,BS_CASH,Cash,2025-12,14066235.900000,1000,
BS,BS_AR,Accounts receivable,2023-01,2859867.610000,1100,
BS,BS_AR,Accounts receivable,2023-02,3284302.420000,1100,
BS,BS_AR,Accounts receivable,2023-03,2780941.470000,1100,
BS,BS_AR,Accounts receivable,2023-04,2960219.090000,1100,
BS,BS_AR,Accounts receivable,2023-05,3381777.010000,1100,
BS,BS_AR,Accounts receivable,2023-06,3623144.160000,1100,
BS,BS_AR,Accounts receivable,2023-07,3167504.200000,1100,
BS,BS_AR,Accounts receivable,2023-08,2895578.180000,1100,
BS,BS_AR,Accounts receivable,2023-09,3777888.550000,1100,
BS,BS_AR,Accounts receivable,2023-10,3683078.530000,1100,
BS,BS_AR,Accounts receivable,2023-11,3457882.890000,1100,
BS,BS_AR,Accounts receivable,2023-12,3950095.460000,1100,
BS,BS_AR,Accounts receivable,2024-01,2935322.740000,1100,
BS,BS_AR,Accounts receivable,2024-02,3115596.040000,1100,
BS,BS_AR,Accounts receivable,2024-03,3049858.760000,1100,
BS,BS_AR,Accounts receivable,2024-04,3484456.390000,1100,
BS,BS_AR,Accounts receivable,2024-05,3388050.690000,1100,
BS,BS_AR,Accounts receivable,2024-06,3591192.330000,1100,
BS,BS_AR,Accounts receivable,2024-07,3566598.660000,1100,
BS,BS_AR,Accounts receivable,2024-08,4162721.420000,1100,
BS,BS_AR,Accounts receivable,2024-09,3804972.010000,1100,
BS,BS_AR,Accounts receivable,2024-10,4271642.960000,1100,
BS,BS_AR,Accounts receivable,2024-11,4900906.370000,1100,
BS,BS_AR,Accounts receivable,2024-12,3750479.660000,1100,
BS,BS_AR,Accounts receivable,2025-01,3814697.610000,1100,
BS,BS_AR,Accounts receivable,2025-02,4032361.240000,1100,
BS,BS_AR,Accounts receivable,2025-03,4215050.450000,1100,
BS,BS_AR,Accounts receivable,2025-04,4121441.680000,1100,
BS,BS_AR,Accounts receivable,2025-05,4531517.540000,1100,
BS,BS_AR,Accounts receivable,2025-06,4352517.300000,1100,
BS,BS_AR,Accounts receivable,2025-07,4449577.040000,1100,
BS,BS_AR,Accounts receivable,2025-08,4758999.600000,1100,
BS,BS_AR,Accounts receivable,2025-09,4434027.780000,1100,
BS,BS_AR,Accounts receivable,2025-10,5913684.730000,1100,
BS,BS_AR,Accounts receivable,2025-11,5286741.500000,1100,
BS,BS_AR,Accounts receivable,2025-12,4983244.900000,1100,
BS,BS_OCA,Other current assets,2023-01,41023.700000,prepaid,
BS,BS_OCA,Other current assets,2023-02,39557.060000,prepaid,
BS,BS_OCA,Other current assets,2023-03,41651.140000,prepaid,
BS,BS_OCA,Other current assets,2023-04,42756.860000,prepaid,
BS,BS_OCA,Other current assets,2023-05,40812.070000,prepaid,
BS,BS_OCA,Other current assets,2023-06,46209.070000,prepaid,
BS,BS_OCA,Other current assets,2023-07,44163.100000,prepaid,
BS,BS_OCA,Other current assets,2023-08,42719.750000,prepaid,
BS,BS_OCA,Other current assets,2023-09,45430.740000,prepaid,
BS,BS_OCA,Other current assets,2023-10,48988.910000,prepaid,
BS,BS_OCA,Other current assets,2023-11,48321.240000,prepaid,
BS,BS_OCA,Other current assets,2023-12,52589.240000,prepaid,
BS,BS_OCA,Other current assets,2024-01,42877.990000,prepaid,
BS,BS_OCA,Other current assets,2024-02,42291.510000,prepaid,
BS,BS_OCA,Other current assets,2024-03,44832.920000,prepaid,
BS,BS_OCA,Other current assets,2024-04,47702.080000,prepaid,
BS,BS_OCA,Other current assets,2024-05,46044.190000,prepaid,
BS,BS_OCA,Other current assets,2024-06,49873.880000,prepaid,
BS,BS_OCA,Other current assets,2024-07,51621.340000,prepaid,
BS,BS_OCA,Other current assets,2024-08,51662.450000,prepaid,
BS,BS_OCA,Other current assets,2024-09,51545.860000,prepaid,
BS,BS_OCA,Other current assets,2024-10,59063.040000,prepaid,
BS,BS_OCA,Other current assets,2024-11,59399.610000,prepaid,
BS,BS_OCA,Other current assets,2024-12,55210.590000,prepaid,
BS,BS_OCA,Other current assets,2025-01,53992.280000,prepaid,
BS,BS_OCA,Other current assets,2025-02,53375.310000,prepaid,
BS,BS_OCA,Other current assets,2025-03,53728.940000,prepaid,
BS,BS_OCA,Other current assets,2025-04,55996.120000,prepaid,
BS,BS_OCA,Other current assets,2025-05,55606.980000,prepaid,
BS,BS_OCA,Other current assets,2025-06,63317.260000,prepaid,
BS,BS_OCA,Other current assets,2025-07,58729.880000,prepaid,
BS,BS_OCA,Other current assets,2025-08,60013.370000,prepaid,
BS,BS_OCA,Other current assets,2025-09,59834.490000,prepaid,
BS,BS_OCA,Other current assets,2025-10,71183.100000,prepaid,
BS,BS_OCA,Other current assets,2025-11,69659.040000,prepaid,
BS,BS_OCA,Other current assets,2025-12,73429.050000,prepaid,
BS,BS_PPE,PP&E,2023-01,3545588.970000,fixed_assets,
BS,BS_PPE,PP&E,2023-02,3552680.140000,fixed_assets,
BS,BS_PPE,PP&E,2023-03,3559771.320000,fixed_assets,
