year,account_code,account_name,account_group,amount
2023,1000,Operating Cash,assets,369800.0
2023,1005,Payroll Cash,assets,60200.0
2023,1100,Accounts Receivable - Insurance,assets,28607.79
2023,1105,Accounts Receivable - Patient,assets,14096.59
2023,1115,Allowance for Doubtful Accounts,assets_contra,-1243.82
2023,1200,Inventory - Clinical Supplies,assets,40026.04
2023,1210,Prepaid Insurance,assets,708.53
2023,1215,Prepaid Rent,assets,654.03
2023,1300,Dental Equipment - Gross,assets,1500672.73
2023,1310,Leasehold Improvements - Gross,assets,919767.16
2023,1320,Accumulated Depreciation,assets_contra,-1035525.41
2023,1325,ROU Asset - Operating Leases,assets,357600.0
2023,2000,Accounts Payable - Trade,liabilities,78032.92
2023,2005,Accounts Payable - Labs,liabilities,40198.78
2023,2010,Accrued Payroll and Taxes,liabilities,17765.3
2023,2025,Accrued Other Expenses,liabilities,16398.74
2023,2035,Patient Prepayments,liabilities,7744.25
2023,2040,Deferred Revenue - Membership Plan,liabilities,10226.97
2023,2055,Line of Credit,liabilities,268137.43
2023,2060,Long-term Debt,liabilities,643131.07
2023,3000,Common Stock,equity,100000.0
2023,3005,Additional Paid-in Capital,equity,120000.0
2023,3010,Retained Earnings,equity,972237.51
2023,3015,Owner Distributions,equity_contra,18509.32
2023,3045,Current Year Earnings,equity,-1181118.11
2024,1000,Operating Cash,assets,660994.8
2024,1005,Payroll Cash,assets,107603.8
2024,1100,Accounts Receivable - Insurance,assets,37035.07
2024,1105,Accounts Receivable - Patient,assets,18249.17
2024,1115,Allowance for Doubtful Accounts,assets_contra,-1610.22
2024,1200,Inventory - Clinical Supplies,assets,33782.01
2024,1210,Prepaid Insurance,assets,1037.64
2024,1215,Prepaid Rent,assets,957.82
2024,1300,Dental Equipment - Gross,assets,1565226.39
2024,1310,Leasehold Improvements - Gross,assets,959332.31
2024,1320,Accumulated Depreciation,assets_contra,-1095346.61
2024,1325,ROU Asset - Operating Leases,assets,295200.0
2024,2000,Accounts Payable - Trade,liabilities,81743.58
2024,2005,Accounts Payable - Labs,liabilities,42110.33
2024,2010,Accrued Payroll and Taxes,liabilities,25989.19
2024,2025,Accrued Other Expenses,liabilities,23990.02
2024,2035,Patient Prepayments,liabilities,9141.41
2024,2040,Deferred Revenue - Membership Plan,liabilities,5994.98
2024,2055,Line of Credit,liabilities,0.0
2024,2060,Long-term Debt,liabilities,555490.5
2024,3000,Common Stock,equity,100000.0
2024,3005,Additional Paid-in Capital,equity,120000.0
2024,3010,Retained Earnings,equity,1653456.74
2024,3015,Owner Distributions,equity_contra,35454.56
2024,3045,Current Year Earnings,equity,-1322167.2
2025,1000,Operating Cash,assets,1235261.9
2025,1005,Payroll Cash,assets,201089.15
2025,1100,Accounts Receivable - Insurance,assets,28658.32
2025,1105,Accounts Receivable - Patient,assets,14121.49
2025,1115,Allowance for Doubtful Accounts,assets_contra,-1246.01
2025,1200,Inventory - Clinical Supplies,assets,33333.76
2025,1210,Prepaid Insurance,assets,918.14
2025,1215,Prepaid Rent,assets,847.52
2025,1300,Dental Equipment - Gross,assets,1604778.33
2025,1310,Leasehold Improvements - Gross,assets,983573.81
2025,1320,Accumulated Depreciation,assets_contra,-1159613.08
2025,1325,ROU Asset - Operating Leases,assets,232800.0
2025,2000,Accounts Payable - Trade,liabilities,85154.94
2025,2005,Accounts Payable - Labs,liabilities,43867.7
2025,2010,Accrued Payroll and Taxes,liabilities,24404.78
2025,2025,Accrued Other Expenses,liabilities,22527.49
2025,2035,Patient Prepayments,liabilities,10350.52
2025,2040,Deferred Revenue - Membership Plan,liabilities,10589.57
2025,2055,Line of Credit,liabilities,0.0
2025,2060,Long-term Debt,liabilities,470355.15
2025,3000,Common Stock,equity,100000.0
2025,3005,Additional Paid-in Capital,equity,120000.0
2025,3010,Retained Earnings,equity,2343879.88
2025,3015,Owner Distributions,equity_contra,56606.71
2025,3045,Current Year Earnings,equity,-1360205.9
