period,account_code,account_name,statement_section,amount
2023-01,1000,Operating Cash,Balance Sheet,94600.0
2023-01,1005,Payroll Cash,Balance Sheet,15400.0
2023-01,1100,Accounts Receivable - Insurance,Balance Sheet,24929.8
2023-01,1105,Accounts Receivable - Patient,Balance Sheet,12284.25
2023-01,1115,Allowance for Doubtful Accounts,Balance Sheet,-1083.9
2023-01,1200,Inventory - Clinical Supplies,Balance Sheet,32891.05
2023-01,1210,Prepaid Insurance,Balance Sheet,573.99
2023-01,1215,Prepaid Rent,Balance Sheet,529.83
2023-01,1300,Dental Equipment - Gross,Balance Sheet,1460213.68
2023-01,1310,Leasehold Improvements - Gross,Balance Sheet,894969.67
2023-01,1320,Accumulated Depreciation,Balance Sheet,-984132.28
2023-01,1325,ROU Asset - Operating Leases,Balance Sheet,414800.0
2023-01,2000,Accounts Payable - Trade,Balance Sheet,-54146.0
2023-01,2005,Accounts Payable - Labs,Balance Sheet,-27893.4
2023-01,2010,Accrued Payroll and Taxes,Balance Sheet,-14565.93
2023-01,2025,Accrued Other Expenses,Balance Sheet,-13445.48
2023-01,2035,Patient Prepayments,Balance Sheet,-7816.3
2023-01,2040,Deferred Revenue - Membership Plan,Balance Sheet,-4363.82
2023-01,2055,Line of Credit,Balance Sheet,-503444.3
2023-01,2060,Long-term Debt,Balance Sheet,-714204.65
2023-01,3000,Common Stock,Balance Sheet,-100000.0
2023-01,3005,Additional Paid-in Capital,Balance Sheet,-120000.0
2023-01,3010,Retained Earnings,Balance Sheet,-406096.2
2023-01,3015,Owner Distributions,Balance Sheet,0.0
2023-01,3045,Current Year Earnings,Balance Sheet,88883.1
2023-01,4000,Hygiene Preventive Revenue,Revenue,-40935.73
2023-01,4005,Hygiene Periodontal Revenue,Revenue,-18893.41
2023-01,4010,Periodic Exams Revenue,Revenue,-12595.61
2023-01,4015,New Patient Exams Revenue,Revenue,-9446.71
2023-01,4020,Restorative Fillings Revenue,Revenue,-25191.22
2023-01,4025,Crown and Bridge Revenue,Revenue,-31489.02
2023-01,4030,Endodontic Revenue,Revenue,-18893.41
2023-01,4035,Oral Surgery Revenue,Revenue,-18893.41
2023-01,4040,Invisalign Revenue,Revenue,-25191.22
2023-01,4045,Whitening Revenue,Revenue,-6297.8
2023-01,4050,Pediatric Dentistry Revenue,Revenue,-9446.71
2023-01,4055,Implant Placement Revenue,Revenue,-22042.32
2023-01,4060,Implant Restoration Revenue,Revenue,-12595.61
2023-01,4065,Prosthodontic Revenue,Revenue,-9446.71
2023-01,4070,Emergency Visit Revenue,Revenue,-7872.26
2023-01,4075,Radiography and Diagnostics Revenue,Revenue,-7872.26
2023-01,4080,Night Guard and Appliance Revenue,Revenue,-3148.9
2023-01,4085,Other Clinical Revenue,Revenue,-3148.9
2023-01,4090,Insurance Reimbursements True-up,Revenue,-4723.35
2023-01,4091,Dental Membership Plan Revenue,Revenue,-3778.68
2023-01,4092,Sedation Adjunct Revenue,Revenue,-3148.9
2023-01,4093,Cancellation and Late Fee Revenue,Revenue,-1574.45
2023-01,4094,Capitation Revenue,Revenue,-3148.9
2023-01,4095,Contractual Adjustments and Write-offs,Revenue,-18893.48
2023-01,4096,Lab Cost Reimbursements,Revenue,-2519.12
2023-01,5000,Dental Consumable Supplies,COGS,7945.82
2023-01,5005,Sterilization Supplies,COGS,3972.91
2023-01,5010,Anesthesia and Sedation Drugs,COGS,2648.61
2023-01,5015,Implant Components,COGS,5297.21
2023-01,5020,Endodontic Materials,COGS,2648.61
2023-01,5025,Oral Surgery Supplies,COGS,2648.61
2023-01,5030,Orthodontic Aligner Lab Fees,COGS,5297.21
2023-01,5035,Crown and Bridge Lab Fees,COGS,7945.82
2023-01,5040,Denture and Prosthetic Lab Fees,COGS,3972.91
2023-01,5045,Whitening Material Costs,COGS,1324.3
2023-01,5050,PPE and Infection Control,COGS,3310.76
2023-01,5055,Clinical Laundry and Linen,COGS,1324.3
2023-01,5060,Merchant Processing - Patient Payments,COGS,2648.61
2023-01,5065,Small Clinical Instruments,COGS,1986.46
2023-01,5070,Disposable Chairside Kits,COGS,1986.46
2023-01,5075,Temporary Crown Materials,COGS,1324.3
2023-01,5080,Nitrous Oxide and Gas Supplies,COGS,1324.3
2023-01,5085,Intraoral Scanner Tips,COGS,1324.3
2023-01,5090,Surgical Sutures and Dressings,COGS,1324.3
2023-01,5095,Lab Shipping and Handling,COGS,1986.46
2023-01,6000,Dentist Payroll,Operating Expense,30992.13
2023-01,6005,Dentist Payroll Taxes,Operating Expense,2582.68
2023-01,6010,Hygienist Payroll,Operating Expense,21952.76
2023-01,6015,Hygienist Payroll Taxes,Operating Expense,1807.87
2023-01,6020,Dental Assistant Payroll,Operating Expense,19370.08
2023-01,6025,Dental Assistant Payroll Taxes,Operating Expense,1549.61
2023-01,6030,Front Desk Payroll,Operating Expense,11622.05
2023-01,6035,Front Desk Payroll Taxes,Operating Expense,903.94
2023-01,6040,Practice Manager Payroll,Operating Expense,6198.43
